municipality,year,inc
Herning,2012,369263.0
Holstebro,2012,383947.0
Ikast-Brande,2012,336803.0
Lemvig,2012,331770.0
Ringkøbing-Skjern,2012,339588.0
Skive,2012,345989.0
Struer,2012,358806.0
Viborg,2012,370798.0
Brønderslev,2012,328883.0
Frederikshavn,2012,361750.0
Hjørring,2012,366002.0
Jammerbugt,2012,329781.0
Læsø,2012,269168.0
Mariagerfjord,2012,352355.0
Morsø,2012,370860.0
Rebild,2012,369250.0
Thisted,2012,355549.0
Vesthimmerlands,2012,324034.0
Aalborg,2012,327289.0
Copenhagen,2013,316362.0
Frederiksberg,2013,376072.0
Dragør,2013,469260.0
Tårnby,2013,357150.0
Albertslund,2013,328004.0
Ballerup,2013,386581.0
Brøndby,2013,324469.0
Gentofte,2013,611828.0
Gladsaxe,2013,398769.0
Glostrup,2013,363366.0
Herlev,2013,360990.0
Hvidovre,2013,342229.0
Høje-Taastrup,2013,359129.0
Ishøj,2013,321748.0
Lyngby-Taarbæk,2013,477554.0
Rødovre,2013,342159.0
Vallensbæk,2013,399341.0
Allerød,2013,442687.0
Egedal,2013,400194.0
Fredensborg,2013,450838.0
Frederikssund,2013,383375.0
Furesø,2013,482266.0
Gribskov,2013,369881.0
Halsnæs,2013,375452.0
Helsingør,2013,450897.0
Hillerød,2013,408640.0
Hørsholm,2013,599347.0
Rudersdal,2013,576241.0
Bornholm,2013,0.0
Greve,2013,417410.0
Køge,2013,384667.0
Lejre,2013,392917.0
Roskilde,2013,402408.0
Solrød,2013,432697.0
Faxe,2013,343502.0
Guldborgsund,2013,367807.0
Holbæk,2013,374893.0
Kalundborg,2013,349216.0
Lolland,2013,327655.0
Næstved,2013,399118.0
Odsherred,2013,321845.0
Ringsted,2013,373513.0
Slagelse,2013,362161.0
Sorø,2013,377844.0
Stevns,2013,368601.0
Vordingborg,2013,357959.0
Assens,2013,339159.0
Faaborg-Midtfyn,2013,338000.0
Kerteminde,2013,371351.0
Langeland,2013,289278.0
Middelfart,2013,379810.0
Nordfyns,2013,351091.0
Nyborg,2013,306509.0
